,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
4,5,2022-08-31 14:03:59.965,2022-08-31 14:04:05.258,4.546,0.0468,5,4.5928,0.40719999999999956
8,9,2022-08-31 14:04:00.000,2022-08-31 14:04:10.000,4.680,0.0453,10,4.7253,5.2747
2,3,2022-08-31 14:03:59.951,2022-08-31 14:04:15.564,4.547,0.0402,15,4.587199999999999,10.4128
1,2,2022-08-31 14:03:59.945,2022-08-31 14:04:20.278,4.597,0.0434,20,4.6404000000000005,15.3596
0,1,2022-08-31 14:03:59.939,2022-08-31 14:04:25.255,4.727,0.0364,25,4.763400000000001,20.2366
9,10,2022-08-31 14:04:00.011,2022-08-31 14:04:30.385,4.690,0.0391,30,4.729100000000001,25.270899999999997
7,8,2022-08-31 14:03:59.992,2022-08-31 14:04:36.209,4.796,0.0356,36,4.8316,31.1684
6,7,2022-08-31 14:03:59.984,2022-08-31 14:04:45.053,4.544,0.0397,45,4.583699999999999,40.4163
5,6,2022-08-31 14:03:59.972,2022-08-31 14:04:50.299,4.691,0.0397,50,4.7307,45.2693
3,4,2022-08-31 14:03:59.958,2022-08-31 14:04:55.778,4.648,0.0418,55,4.6898,50.3102
